Datum;BV;;;;;;;;;;
2018-03-08;83.019.213;;;;;;;;;;
2018-03-09;83.019.213;;;;;;;;;;
2018-03-10;83.019.213;;;;;;;;;;
2018-03-11;83.019.213;;;;;;;;;;
2018-03-12;83.019.213;;;;;;;;;;
2018-03-13;83.019.213;;;;;;;;;;
2018-03-14;83.019.213;;;;;;;;;;
2018-03-15;83.019.213;;;;;;;;;;
2018-03-16;83.019.213;;;;;;;;;;
2018-03-17;83.019.213;;;;;;;;;;
2018-03-18;83.019.213;;;;;;;;;;
2018-03-19;83.019.213;;;;;;;;;;
2018-03-20;83.019.213;;;;;;;;;;
2018-03-21;83.019.213;;;;;;;;;;
2018-03-22;83.019.213;;;;;;;;;;
2018-03-23;83.019.213;;;;;;;;;;
2018-03-24;83.019.213;;;;;;;;;;
2018-03-25;83.019.213;;;;;;;;;;
2018-03-26;83.019.213;;;;;;;;;;
2018-03-27;83.019.213;;;;;;;;;;
2018-03-28;83.019.213;;;;;;;;;;
2018-03-29;83.019.213;;;;;;;;;;
2018-03-30;83.019.213;;;;;;;;;;
2018-03-31;83.019.213;;;;;;;;;;
2018-04-01;83.019.213;;;;;;;;;;
2018-04-02;83.019.213;;;;;;;;;;
2018-04-03;83.019.213;;;;;;;;;;
2018-04-04;83.019.213;;;;;;;;;;
2018-04-05;83.019.213;;;;;;;;;;
2018-04-06;83.019.213;;;;;;;;;;
2018-04-07;83.019.213;;;;;;;;;;
2018-04-08;83.019.213;;;;;;;;;;
2018-04-09;83.019.213;;;;;;;;;;
2018-04-10;83.019.213;;;;;;;;;;
2018-04-11;83.019.213;;;;;;;;;;
2018-04-12;83.019.213;;;;;;;;;;
2018-04-13;83.019.213;;;;;;;;;;
2018-04-14;83.019.213;;;;;;;;;;
2018-04-15;83.019.213;;;;;;;;;;
2018-04-16;83.019.213;;;;;;;;;;
2018-04-17;83.019.213;;;;;;;;;;
2018-04-18;83.019.213;;;;;;;;;;
2018-04-19;83.019.213;;;;;;;;;;
2018-04-20;83.019.213;;;;;;;;;;
2018-04-21;83.019.213;;;;;;;;;;
2018-04-22;83.019.213;;;;;;;;;;
2018-04-23;83.019.213;;;;;;;;;;
2018-04-24;83.019.213;;;;;;;;;;
2018-04-25;83.019.213;;;;;;;;;;
2018-04-26;83.019.213;;;;;;;;;;
2018-04-27;83.019.213;;;;;;;;;;
2018-04-28;83.019.213;;;;;;;;;;
2018-04-29;83.019.213;;;;;;;;;;
2018-04-30;83.019.213;;;;;;;;;;
2018-05-01;83.019.213;;;;;;;;;;
2018-05-02;83.019.213;;;;;;;;;;
2018-05-03;83.019.213;;;;;;;;;;
2018-05-04;83.019.213;;;;;;;;;;
2018-05-05;83.019.213;;;;;;;;;;
2018-05-06;83.019.213;;;;;;;;;;
